channel gain chi2 NDF
0 122.821 738.265 178
1 101.082 408.962 139
2 99.0382 4030.15 130
3 141.245 165.455 191
4 178.273 319.81 220
5 145.927 288.028 167
6 129.779 253.213 153
7 150.843 307.586 160
8 196.325 1117.22 223
9 90.1683 3988.43 125
10 180.958 529.225 209
11 144.411 340.46 167
12 148.583 367.249 181
13 120.759 4262.53 104
14 163.6 621.25 188
15 123.453 186.566 152
16 219.796 995.258 216
17 181.039 811.682 209
18 165.634 678.254 202
19 138.495 249.728 174
20 113.775 433.28 150
21 98.5437 1952.93 144
22 101.262 2506.75 135
23 72.8325 931.561 104
24 163.302 258.927 195
25 135.873 216.573 181
26 104.154 1296.01 165
27 88.0709 786.652 130
28 95.2878 1172.79 147
29 107.545 134.254 105
30 107.833 2535.01 140
31 95.1998 1793.19 146
32 110.068 548.873 152
33 97.7868 1295.68 158
34 103.107 6992.05 151
35 134.028 214.393 181
36 119.579 302.362 153
37 104.408 1227.68 132
38 97.0003 125.383 116
39 112.927 506.749 166
40 139.475 371.803 174
41 113.239 1378.26 152
42 151.787 264.496 181
43 156.117 257.825 197
44 113.313 674.416 153
45 101.998 802.739 125
46 83.8239 386.708 103
47 134.503 281.217 176
48 134.458 1381.6 158
49 176.356 589.232 181
50 118.974 357.4 149
51 119.32 183.114 146
52 153.659 947.357 211
53 143.958 1074.64 196
54 161.3 326.682 174
55 95.5576 1121.88 148
56 117.892 163.834 153
57 95.2941 1272.14 139
58 118.227 956.286 139
59 101.65 587.067 120
