runNo fileNo TriggerNo second nanosec TotalPE nlightedPMT rmax maxch npeak ReconR/d DeltaTime
47761 390 37585291 1752235360 318007161 2444.87 56 0.13834 55 11.3571 0.592789 5.77659
48135 349 33757144 1752625057 476135525 5622.03 56 0.0391633 55 17.2321 0.230445 5.23442
48137 40 3889042 1752675553 517846236 1655.2 55 0.205748 39 17.7679 0.65938 6.94902
48139 30 2931687 1752686275 300380689 1108.68 49 0.147274 25 9.16327 0.511386 5.63767
48252 19 1901631 1753152562 919613651 2313.18 56 0.120762 13 14.0893 0.603519 6.4879
48264 13 1337001 1753229682 526067889 2737.06 56 0.080314 15 13.9821 0.420962 6.53222
48276 26 2560451 1753311945 179860502 4348.43 56 0.0997785 57 26.4643 0.556324 6.64644
48278 42 4126035 1753329159 937121378 3462.2 56 0.0793885 50 16.8393 0.47554 6.14051
48280 0 79192 1753331715 470063993 1996.38 56 0.118077 47 9.46429 0.550795 6.18484
48286 18 1778068 1753375515 60280595 2375.43 55 0.0921634 43 12.8 0.551574 5.75724
48290 22 2183665 1753402761 680886644 2702.18 56 0.0788016 57 11.0536 0.553166 5.86425
48314 6 610322 1753556979 841797129 1784.83 54 0.18532 53 19.8 0.702633 5.38701
48332 19 1924268 1753679846 586119403 1322.31 48 0.223199 15 17.0612 0.667916 4.8288
48356 14 1458549 1753833603 478451562 2436.2 56 0.0969789 46 14.5 0.566414 6.35258
48392 34 3362181 1754076509 348965500 8565.52 56 0.0918187 31 34.3571 0.428654 5.26803
48392 46 4572764 1754079698 684068101 1994.39 54 0.129856 43 18.9455 0.47826 5.49177
48398 1 97609 1754107375 166544920 1921.46 56 0.145524 45 8.94643 0.615765 6.09396
48436 34 3410086 1754367943 7459948 3030.34 56 0.0837222 57 11.25 0.508578 6.27949
48474 42 4163162 1754622138 135558505 4219.32 56 0.0716644 32 18.9821 0.523361 6.24873
48812 19 1878686 1754991228 860214742 2410.07 56 0.118888 50 13.8036 0.571334 5.59988
48820 7 763264 1755042180 952555576 1039.93 43 0.232804 47 12.5333 0.758348 5.08803
48826 50 4896995 1755094006 244731336 2650.29 56 0.0840309 49 14.5357 0.516463 6.02081
48848 7 692336 1755230055 63484865 1100.2 49 0.219508 36 7.12245 0.702822 5.47805
48898 26 2570891 1755573129 864955958 2269.05 55 0.0913644 41 10.6182 0.587014 5.65191
48912 16 1655131 1755665516 517617185 876.677 52 0.206769 18 6.25 0.502756 6.00436
48914 21 2147907 1755680495 681143228 2435.83 56 0.0778933 55 9.44643 0.538577 6.26741
48916 4 417285 1755689406 407014253 1438.55 53 0.15366 35 13.283 0.630334 5.57583
48924 22 2182291 1755748307 107859853 2160.26 55 0.119658 55 12.6 0.582985 6.10942
48940 48 4715875 1755863311 998542836 1278.11 50 0.239713 13 13.6078 0.448755 5.42948
48958 16 1637758 1755976485 856615939 2824.91 56 0.0857858 51 14.6786 0.493169 6.17058
48982 26 2595480 1756141626 328304443 1449.53 53 0.197409 36 12.4906 0.650474 5.37411
49036 1 104941 1756505823 632538651 2473.55 56 0.104445 58 13.5893 0.60739 5.82425
49056 20 2005166 1756645933 689260867 1056.85 48 0.24169 45 5.20833 0.707299 4.97212
49107 17 1686743 1756959379 116090526 2439.48 56 0.0948415 22 10.1786 0.48854 5.88736
49127 29 2924764 1757097951 645570595 1023.86 54 0.282199 44 3.83333 0.692634 5.29929
49139 28 2780063 1757179483 874410817 3079.6 56 0.0799725 20 10.7679 0.417589 6.11977
49143 20 1965076 1757204259 195346747 4428 56 0.130236 49 36.0357 0.53481 5.52855
49155 21 2120357 1757286216 641685979 1021.34 50 0.256587 18 12.46 0.512828 5.32802
49157 33 3313489 1757302941 378539566 2174.28 56 0.127998 52 14.1786 0.617766 5.93253
49179 3 313109 1757444795 59012989 1708.33 56 0.122276 55 8.03571 0.605098 5.87593
49181 7 687681 1757459520 439500234 1919.77 54 0.134435 40 10.9074 0.62614 5.60892
49233 12 1216470 1757713084 321361964 1356.8 51 0.179014 41 7.27451 0.707743 4.86809
49637 39 3887990 1757891850 48007852 2717.69 56 0.0890441 42 14.4107 0.527207 6.00336
49659 4 434387 1758031812 97928545 2535.6 56 0.0957853 31 13.2143 0.507587 5.93493
49667 29 2889100 1758092825 509086205 1305.45 56 0.111237 56 3.41071 0.272162 6.34497
49691 14 1448515 1758247469 195125371 2888.45 56 0.0861843 45 10.2679 0.353482 6.08252
