# run49753 beginning time:1758443353 end time:1758444532
# Channel	Mean (ns)	Mean Error (ns)	Sigma (ns)	Sigma Error (ns)	Entries
# -----------------------------------------------------------------------
0	-1.604762	0.00827346	0	0	115566
1	-4.353181	0.00858771	0	0	116326
2	-3.805072	0.00766713	0	0	116515
3	13.114497	0.00810093	0	0	116528
4	0.487808	0.00834256	0	0	115673
5	-4.067203	0.00758332	0	0	116009
6	-2.523472	0.00783237	0	0	114280
7	-0.111372	0.00759246	0	0	116160
8	-2.704565	0.0073226	0	0	116417
9	-1.688972	0.0072221	0	0	116589
10	-0.705002	0.0073688	0	0	116503
11	-1.178252	0.00716854	0	0	116436
12	-3.079995	0.00789021	0	0	116472
13	-2.144102	0.00731824	0	0	116074
14	-4.528572	0.00769415	0	0	115937
15	-2.213572	0.00741262	0	0	116497
16	-1.757002	0.0071238	0	0	115698
17	-3.342185	0.00702575	0	0	116479
18	-0.394552	0.00703041	0	0	116450
19	13.335592	0.00721508	0	0	116397
20	-2.710283	0.00817164	0	0	115573
21	-2.061352	0.00793826	0	0	116357
22	-2.441241	0.00772788	0	0	115416
23	-2.744605	0.00776871	0	0	116380
24	-3.725264	0.00910215	0	0	115759
25	-3.849695	0.00793433	0	0	115628
26	0.000000	0	0	0	0
27	12.416584	0.00776371	0	0	114294
28	-2.664163	0.00765389	0	0	116079
29	0.000000	0	0	0	0
30	-0.552672	0.00715782	0	0	116547
31	0.353158	0.00743102	0	0	115869
32	-0.336842	0.00742701	0	0	116475
33	-1.496822	0.00762062	0	0	116247
34	-1.962192	0.0081574	0	0	116495
35	16.193548	0.00805953	0	0	116060
36	-1.729692	0.00796364	0	0	116200
37	-2.388462	0.00808944	0	0	116348
38	0.000000	0	0	0	0
39	0.053608	0.00768288	0	0	116220
40	14.223998	0.00714629	0	0	115906
41	-1.124392	0.00733051	0	0	116216
42	0.721738	0.00707974	0	0	116473
43	15.728748	0.00743169	0	0	116384
44	-3.113245	0.00760828	0	0	116521
45	-2.389802	0.00718378	0	0	116582
46	-2.353932	0.00722749	0	0	116590
47	-4.405453	0.00717219	0	0	115632
48	0.985448	0.00736454	0	0	116117
49	-2.702092	0.00713025	0	0	116007
50	-0.527572	0.00720052	0	0	115655
51	-3.551629	0.00740727	0	0	116116
52	-1.083412	0.00754983	0	0	114712
53	-1.449342	0.00722774	0	0	116475
54	0.000000	0	0	0	0
55	-3.083412	0.00769569	0	0	115559
56	-0.805982	0.00789116	0	0	116449
57	-3.121390	0.00790654	0	0	115842
58	-3.671472	0.00800659	0	0	116139
59	14.633508	0.00799217	0	0	116352
