# run49736 beginning time:1758397294 end time:1758411170
# Channel	Mean (ns)	Mean Error (ns)	Sigma (ns)	Sigma Error (ns)	Entries
# -----------------------------------------------------------------------
0	0.130588	0	0	0	145571
1	-2.46043	0	0	0	120902
2	-1.90222	0	0	0	106895
3	-0.767451	0	0	0	165275
4	2.42511	0	0	0	190562
5	-1.69116	0	0	0	212522
6	0.0926015	0	0	0	185283
7	2.19867	0	0	0	198158
8	0.472282	0	0	0	218534
9	1.02239	0	0	0	127083
10	1.14669	0	0	0	204162
11	1.42113	0	0	0	237568
12	-0.836274	0	0	0	190795
13	0.0833898	0	0	0	247119
14	-1.33748	0	0	0	213298
15	0.343629	0	0	0	193962
16	1.17402	0	0	0	243934
17	-0.379748	0	0	0	226653
18	2.47868	0	0	0	215616
19	-0.0443505	0	0	0	186543
20	-0.96105	0	0	0	167662
21	-0.937236	0	0	0	125226
22	-1.11735	0	0	0	163291
23	-1.37965	0	0	0	96128
24	-1.68731	0	0	0	168574
25	-1.82605	0	0	0	179008
26	0	0	0	0	0
27	-1.07406	0	0	0	113851
28	-0.371688	0	0	0	128030
29	0	0	0	0	0
30	0.687262	0	0	0	167885
31	1.82999	0	0	0	170528
32	0.804004	0	0	0	176659
33	-0.181922	0	0	0	143860
34	-0.442772	0	0	0	92282
35	2.1087	0	0	0	184926
36	-0.169154	0	0	0	170063
37	-0.277928	0	0	0	135205
38	0	0	0	0	0
39	1.75576	0	0	0	156012
40	0.066968	0	0	0	216923
41	0.488004	0	0	0	188436
42	2.09961	0	0	0	223893
43	1.67276	0	0	0	216109
44	-1.32436	0	0	0	154189
45	-0.561151	0	0	0	162642
46	-0.349808	0	0	0	137154
47	-1.50416	0	0	0	223043
48	3.25785	0	0	0	203065
49	-0.815451	0	0	0	207377
50	1.71997	0	0	0	189961
51	-0.971903	0	0	0	201322
52	1.36346	0	0	0	220401
53	0.250812	0	0	0	216748
54	0	0	0	0	0
55	-1.41798	0	0	0	171757
56	0.310918	0	0	0	165398
57	-2.08684	0	0	0	117599
58	-2.45641	0	0	0	161594
59	-0.0719005	0	0	0	110750
