# run49753 beginning time:1758443353 end time:1758444532
# Channel	Mean (ns)	Mean Error (ns)	Sigma (ns)	Sigma Error (ns)	Entries
# -----------------------------------------------------------------------
# Channel	Mean (ns)	Mean Error (ns)	Sigma (ns)	Sigma Error (ns)	Entries
# -----------------------------------------------------------------------
0	0.463914	0.00827346	0	0	115566
1	-2.368316	0.00858771	0	0	116326
2	-1.873214	0.00766713	0	0	116515
3	-0.900638	0.00810093	0	0	116528
4	2.556484	0.00834256	0	0	115673
5	-1.923052	0.00758332	0	0	116009
6	-0.472565	0.00783237	0	0	114280
7	1.782250	0.00759246	0	0	116160
8	-0.810943	0.00732260	0	0	116417
9	0.361935	0.00722210	0	0	116589
10	1.476495	0.00736880	0	0	116503
11	1.003245	0.00716854	0	0	116436
12	-0.963520	0.00789021	0	0	116472
13	-0.135837	0.00731824	0	0	116074
14	-2.632596	0.00769415	0	0	115937
15	-0.389248	0.00741262	0	0	116497
16	0.067322	0.00712380	0	0	115698
17	-1.446209	0.00702575	0	0	116479
18	1.613713	0.00703041	0	0	116450
19	-0.547933	0.00721508	0	0	116397
20	-0.531949	0.00817164	0	0	115573
21	0.155807	0.00793826	0	0	116357
22	-0.262907	0.00772788	0	0	115416
23	-0.670259	0.00776871	0	0	116380
24	-1.784578	0.00910215	0	0	115759
25	-2.021808	0.00793433	0	0	115628
26	0.000000	0.00000000	0	0	0
27	-1.755529	0.00776371	0	0	114294
28	-0.723477	0.00765389	0	0	116079
29	0.000000	0.00000000	0	0	0
30	1.655720	0.00715782	0	0	116547
31	2.561550	0.00743102	0	0	115869
32	1.796631	0.00742701	0	0	116475
33	0.511443	0.00762062	0	0	116247
34	-0.084630	0.00815740	0	0	116495
35	1.987245	0.00805953	0	0	116060
36	0.064005	0.00796364	0	0	116200
37	-0.510900	0.00808944	0	0	116348
38	0.000000	0.00000000	0	0	0
39	2.187081	0.00768288	0	0	116220
40	0.413462	0.00714629	0	0	115906
41	1.031278	0.00733051	0	0	116216
42	2.787152	0.00707974	0	0	116473
43	1.678748	0.00743169	0	0	116384
44	-1.260063	0.00760828	0	0	116521
45	-0.574489	0.00718378	0	0	116582
46	-0.500750	0.00722749	0	0	116590
47	-2.455453	0.00717219	0	0	115632
48	3.050862	0.00736454	0	0	116117
49	-0.546422	0.00713025	0	0	116007
50	1.610591	0.00720052	0	0	115655
51	-1.462432	0.00740727	0	0	116116
52	0.841662	0.00754983	0	0	114712
53	0.423101	0.00722774	0	0	116475
54	0.000000	0.00000000	0	0	0
55	-1.030828	0.00769569	0	0	115559
56	1.273672	0.00789116	0	0	116449
57	-1.113125	0.00790654	0	0	115842
58	-1.736347	0.00800659	0	0	116139
59	0.596786	0.00799217	0	0	116352
