# run49753 beginning time:1758443353 end time:1758444532
# Channel	Mean (ns)	Mean Error (ns)	Sigma (ns)	Sigma Error (ns)	Entries
# -----------------------------------------------------------------------
# Channel	Mean (ns)	Mean Error (ns)	Sigma (ns)	Sigma Error (ns)	Entries
# -----------------------------------------------------------------------
0	0.341843	0.00827346	0	0	115566
1	-2.321698	0.00858771	0	0	116326
2	-1.722309	0.00766713	0	0	116515
3	-0.854020	0.00810093	0	0	116528
4	2.434413	0.00834256	0	0	115673
5	-2.201321	0.00758332	0	0	116009
6	-0.558467	0.00783237	0	0	114280
7	2.007288	0.00759246	0	0	116160
8	-0.585905	0.00732260	0	0	116417
9	0.276033	0.00722210	0	0	116589
10	1.119322	0.00736880	0	0	116503
11	0.646072	0.00716854	0	0	116436
12	-1.184019	0.00789021	0	0	116472
13	-0.135837	0.00731824	0	0	116074
14	-2.412097	0.00769415	0	0	115937
15	-0.032075	0.00741262	0	0	116497
16	0.424495	0.00712380	0	0	115698
17	-1.225710	0.00702575	0	0	116479
18	1.613713	0.00703041	0	0	116450
19	-0.768432	0.00721508	0	0	116397
20	-0.882396	0.00817164	0	0	115573
21	-0.277768	0.00793826	0	0	116357
22	-0.613354	0.00772788	0	0	115416
23	-0.803919	0.00776871	0	0	116380
24	-1.650918	0.00910215	0	0	115759
25	-1.671361	0.00793433	0	0	115628
26	0.000000	0.00000000	0	0	0
27	-1.405082	0.00776371	0	0	114294
28	-0.589817	0.00765389	0	0	116079
29	0.000000	0.00000000	0	0	0
30	1.241025	0.00715782	0	0	116547
31	2.146855	0.00743102	0	0	115869
32	1.540720	0.00742701	0	0	116475
33	0.511443	0.00762062	0	0	116247
34	0.171281	0.00815740	0	0	116495
35	2.401940	0.00805953	0	0	116060
36	0.478700	0.00796364	0	0	116200
37	-0.254989	0.00808944	0	0	116348
38	0.000000	0.00000000	0	0	0
39	1.931170	0.00768288	0	0	116220
40	0.039311	0.00714629	0	0	115906
41	0.728790	0.00733051	0	0	116216
42	2.671738	0.00707974	0	0	116473
43	1.794162	0.00743169	0	0	116384
44	-0.957575	0.00760828	0	0	116521
45	-0.200338	0.00718378	0	0	116582
46	-0.198262	0.00722749	0	0	116590
47	-2.340039	0.00717219	0	0	115632
48	2.935448	0.00736454	0	0	116117
49	-0.848910	0.00713025	0	0	116007
50	1.344871	0.00720052	0	0	115655
51	-1.626555	0.00740727	0	0	116116
52	1.005785	0.00754983	0	0	114712
53	0.688821	0.00722774	0	0	116475
54	0.000000	0.00000000	0	0	0
55	-1.120134	0.00769569	0	0	115559
56	1.129143	0.00789116	0	0	116449
57	-1.113125	0.00790654	0	0	115842
58	-1.591818	0.00800659	0	0	116139
59	0.686092	0.00799217	0	0	116352
