# run49753_fixed beginning time:1758443353 end time:1758444532
# Channel	Mean (ns)	Mean Error (ns)	Sigma (ns)	Sigma Error (ns)	Entries
# -----------------------------------------------------------------------
0	0.395238	0	0	0	115566
1	-2.353181	0	0	0	116326
2	-1.805072	0	0	0	116515
3	-0.885503	0	0	0	116528
4	2.487808	0	0	0	115673
5	-2.067203	0	0	0	116009
6	-0.523472	0	0	0	114280
7	1.888628	0	0	0	116160
8	-0.704565	0	0	0	116417
9	0.311028	0	0	0	116589
10	1.294998	0	0	0	116503
11	0.821748	0	0	0	116436
12	-1.079995	0	0	0	116472
13	-0.144102	0	0	0	116074
14	-2.528572	0	0	0	115937
15	-0.213572	0	0	0	116497
16	0.242998	0	0	0	115698
17	-1.342185	0	0	0	116479
18	1.605448	0	0	0	116450
19	-0.664408	0	0	0	116397
20	-0.710283	0	0	0	115573
21	-0.061352	0	0	0	116357
22	-0.441241	0	0	0	115416
23	-0.744605	0	0	0	116380
24	-1.725264	0	0	0	115759
25	-1.849695	0	0	0	115628
26	0.000000	0	0	0	0
27	-1.583416	0	0	0	114294
28	-0.664163	0	0	0	116079
29	0.000000	0	0	0	0
30	1.447328	0	0	0	116547
31	2.353158	0	0	0	115869
32	1.663158	0	0	0	116475
33	0.503178	0	0	0	116247
34	0.037808	0	0	0	116495
35	2.193548	0	0	0	116060
36	0.270308	0	0	0	116200
37	-0.388462	0	0	0	116348
38	0.000000	0	0	0	0
39	2.053608	0	0	0	116220
40	0.223998	0	0	0	115906
41	0.875608	0	0	0	116216
42	2.721738	0	0	0	116473
43	1.728748	0	0	0	116384
44	-1.113245	0	0	0	116521
45	-0.389802	0	0	0	116582
46	-0.353932	0	0	0	116590
47	-2.405453	0	0	0	115632
48	2.985448	0	0	0	116117
49	-0.702092	0	0	0	116007
50	1.472428	0	0	0	115655
51	-1.551629	0	0	0	116116
52	0.916588	0	0	0	114712
53	0.550658	0	0	0	116475
54	0.000000	0	0	0	0
55	-1.083412	0	0	0	115559
56	1.194018	0	0	0	116449
57	-1.121390	0	0	0	115842
58	-1.671472	0	0	0	116139
59	0.633508	0	0	0	116352
