# Channel	Mean (ns)	Mean Error (ns)	Sigma (ns)	Sigma Error (ns)	Entries
# -----------------------------------------------------------------------
0	183.568	4.21431	30.0275	2.64864	80
1	178.981	0.962787	33.2741	0.781513	1325
2	173.28	0.684696	32.9163	0.553628	2629
3	180.671	0.70916	31.4702	0.552822	2101
4	183.045	0.635718	30.8463	0.489742	2491
5	0	0	0	0	0
6	180.568	0.68443	31.817	0.541527	2374
7	179.946	0.674863	31.5181	0.531546	2271
8	181.149	0.67909	31.0377	0.534724	2212
9	182.652	1.22732	32.1392	0.97462	748
10	174.692	0.665475	32.6863	0.529291	2655
11	0	0	0	0	0
12	180.566	0.635081	30.0875	0.486929	2402
13	179.559	0.58443	31.0268	0.454369	3039
14	178.562	0.632884	31.7883	0.5057	2590
15	181.418	0.660986	31.6401	0.523343	2441
16	180.648	0.622858	32.1525	0.495611	2911
17	178.947	0.572438	31.3561	0.459555	3114
18	0	0	0	0	0
19	181.147	0.646777	31.3438	0.516503	2516
20	180.3	0.662661	30.7467	0.515358	2315
21	180.552	0.749651	31.1045	0.580113	1827
22	181.617	0.714722	30.8559	0.556414	2000
23	182.401	1.18553	31.5667	0.931459	771
24	180.259	0.711294	31.5461	0.558584	2051
25	179.88	0.670157	32.0571	0.531552	2473
26	0	0	0	0	0
27	184.612	1.15613	31.7795	0.903838	835
28	181.115	0.666291	31.7469	0.524896	2448
29	0	0	0	0	0
30	182.228	0.571716	30.6956	0.450655	2975
31	183.736	0.659847	31.8401	0.526336	2471
32	182.208	0.68739	31.416	0.536938	2267
33	180.732	0.766715	29.8325	0.585135	1609
34	176.503	0.850886	31.6793	0.680498	1470
35	183.406	0.661362	30.9698	0.510708	2347
36	179.698	0.694617	31.8367	0.556809	2221
37	180.863	0.765741	31.3223	0.600871	1814
38	181.779	0.894137	29.282	0.677538	1135
39	185.359	0.765082	31.0805	0.592618	1783
40	0	0	0	0	0
41	184.097	0.75192	31.6969	0.591028	1904
42	177.261	0.747189	33.8695	0.608674	2262
43	184.179	0.681887	30.7164	0.531519	2128
44	180.51	0.758735	31.0288	0.592652	1799
45	180.553	0.75413	31.8218	0.595367	1911
46	182.916	0.749178	31.4025	0.602609	1884
47	180.053	0.678247	31.2813	0.532182	2237
48	184.817	0.712616	31.4482	0.564195	2051
49	179.446	0.645387	29.3826	0.491174	2154
50	174.717	0.784452	32.1019	0.635882	1810
51	0	0	0	0	0
52	181.364	0.758677	31.0684	0.592725	1799
53	0	0	0	0	0
54	185.71	0.851541	31.4307	0.664986	1483
55	181.481	0.814164	31.6193	0.634478	1633
56	184.082	0.766975	31.86	0.606878	1852
57	181.13	0.795193	31.5235	0.622588	1734
58	0	0	0	0	0
59	186.272	0.845291	30.4701	0.646321	1392
