# Channel	Mean (ns)	Mean Error (ns)	Sigma (ns)	Sigma Error (ns)	Entries
# -----------------------------------------------------------------------
0	184.87	3.93772	34.2519	2.80039	80
1	179.674	0.901171	32.6427	0.640649	1325
2	174.046	0.635552	32.4917	0.450881	2629
3	181.123	0.684861	31.2275	0.49084	2101
4	183.269	0.620455	30.7658	0.440851	2491
5	0	0	0	0	0
6	180.93	0.687128	33.0815	0.487653	2374
7	180.381	0.659195	31.2748	0.466132	2271
8	181.957	0.680589	31.7664	0.482287	2212
9	182.433	1.18582	    32.308	0.843052	748
10	175.338	0.640305	32.855	0.462877	2655
11	0	0	0	0	0
12	181.005	0.630815	30.7918	0.448321	2402
13	179.989	0.574533	31.5419	0.408341	3039
14	179.03	0.616863	31.2866	0.436991	2590
15	181.887	0.657322	32.213	0.470267	2441
16	181.376	0.60196	    32.309	0.427505	2911
17	179.613	0.574614	31.9264	0.406815	3114
18	0	0	0	0	0
19	181.29	0.620877	31.0364	0.440994	2516
20	180.589	0.660283	31.6255	0.468518	2315
21	180.975	0.728679	30.9452	0.525917	1827
22	181.725	0.715937	31.8976	0.509073	2000
23	183.212	1.18385	32.5921	0.839068	771
24	181.008	0.708867	31.9295	0.501469	2051
25	180.579	0.649264	32.1707	0.46328	2473
26	0	0	0	0	0
27	185.528	1.13139	32.4395	0.803874	835
28	181.756	0.650036	31.9334	0.459221	2448
29	0	0	0	0	0
30	182.761	0.565808	30.7377	0.401781	2975
31	184.026	0.653578	32.4132	0.467034	2471
32	183.044	0.682638	32.295	0.486362	2267
33	181.578	0.768772	30.7064	0.545443	1609
34	176.809	0.823615	31.4559	0.585864	1470
35	183.6	0.653029	31.2889	0.466997	2347
36	180.174	0.681064	31.9508	0.485002	2221
37	181.597	0.765726	32.4239	0.543486	1814
38	181.809	0.880464	29.4969	0.623193	1135
39	185.871	0.760363	31.6788	0.537092	1783
40	0	0	0	0	0
41	184.738	0.742957	32.2543	0.535102	1904
42	178.15	0.718235	33.6684	0.515146	2262
43	184.705	0.671121	30.8306	0.477648	2128
44	180.848	0.743125	31.3825	0.531186	1799
45	181.116	0.726533	31.6611	0.515559	1911
46	183.496	0.730082	31.5528	0.518431	1884
47	180.749	0.667314	31.3692	0.47316	2237
48	185.313	0.699363	31.4632	0.494669	2051
49	179.687	0.6566	30.3807	0.465608	2154
50	175.158	0.764925	32.395	0.543455	1810
51	0	0	0	0	0
52	182.179	0.743501	31.3658	0.526026	1799
53	0	0	0	0	0
54	186.184	0.831901	31.6433	0.587964	1483
55	181.732	0.816988	32.7953	0.588669	1633
56	184.429	0.73878	31.5536	0.523745	1852
57	181.048	0.792343	32.7195	0.563429	1734
58	0	0	0	0	0
59	186.665	0.843786	31.0015	0.60108	1392
