Channel,Risetime_Mean(ns),Timescale_Mean(ns),Absolute_Diff(ns),Relative_Diff(%)
0,184.870,175.450,9.420,5.10
1,179.674,179.477,0.197,0.11
2,174.046,175.406,-1.360,-0.78
3,181.123,181.921,-0.798,-0.44
4,183.269,184.186,-0.917,-0.50
6,180.930,179.630,1.300,0.72
7,180.381,182.114,-1.733,-0.95
8,181.957,182.273,-0.316,-0.17
9,182.433,182.388,0.045,0.02
10,175.338,178.357,-3.019,-1.69
12,181.005,181.612,-0.607,-0.33
13,179.989,181.500,-1.511,-0.83
14,179.030,180.108,-1.078,-0.60
15,181.887,182.936,-1.049,-0.57
16,181.376,182.903,-1.527,-0.83
17,179.613,181.659,-2.046,-1.13
19,181.290,181.916,-0.626,-0.34
20,180.589,181.843,-1.254,-0.69
21,180.975,180.355,0.620,0.34
22,181.725,181.738,-0.013,-0.01
23,183.212,181.355,1.857,1.01
24,181.008,181.221,-0.213,-0.12
25,180.579,180.863,-0.284,-0.16
27,185.528,182.728,2.800,1.51
28,181.756,182.399,-0.643,-0.35
30,182.761,185.198,-2.437,-1.32
31,184.026,185.592,-1.566,-0.84
32,183.044,182.870,0.174,0.10
33,181.578,181.709,-0.131,-0.07
34,176.809,177.818,-1.009,-0.57
35,183.600,185.373,-1.773,-0.96
36,180.174,181.032,-0.858,-0.47
37,181.597,181.274,0.323,0.18
38,181.809,181.114,0.695,0.38
39,185.871,184.986,0.885,0.48
41,184.738,184.525,0.213,0.12
42,178.150,178.936,-0.786,-0.44
43,184.705,186.681,-1.976,-1.06
44,180.848,180.807,0.041,0.02
45,181.116,181.433,-0.317,-0.17
46,183.496,183.654,-0.158,-0.09
47,180.749,181.487,-0.738,-0.41
48,185.313,185.995,-0.682,-0.37
49,179.687,180.985,-1.298,-0.72
50,175.158,174.679,0.479,0.27
52,182.179,182.891,-0.712,-0.39
54,186.184,185.661,0.523,0.28
55,181.732,181.652,0.080,0.04
56,184.429,185.582,-1.153,-0.62
57,181.048,180.992,0.056,0.03
59,186.665,186.567,0.098,0.05
