# Channel	Risetime Mean (ns)	Timescale Mean (ns)	Absolute Diff (ns)	Relative Diff (%)
# -----------------------------------------------------------------------------------
0	184.809	175.450	9.359	5.06
1	179.710	179.477	0.233	0.13
2	174.080	175.406	-1.326	-0.76
3	181.155	181.921	-0.766	-0.42
4	183.305	184.186	-0.881	-0.48
6	180.956	179.630	1.326	0.73
7	180.415	182.114	-1.699	-0.93
8	181.980	182.273	-0.293	-0.16
9	182.418	182.388	0.030	0.02
10	175.353	178.357	-3.004	-1.68
12	181.044	181.612	-0.568	-0.31
13	180.010	181.500	-1.490	-0.82
14	179.059	180.108	-1.049	-0.58
15	181.932	182.936	-1.004	-0.55
16	181.406	182.903	-1.497	-0.82
17	179.645	181.659	-2.014	-1.11
19	181.329	181.916	-0.587	-0.32
20	180.612	181.843	-1.231	-0.68
21	181.003	180.355	0.648	0.36
22	181.759	181.738	0.021	0.01
23	183.232	181.355	1.877	1.02
24	181.033	181.221	-0.188	-0.10
25	180.611	180.863	-0.252	-0.14
27	185.546	182.728	2.818	1.52
28	181.789	182.399	-0.610	-0.33
29	0.000	185.271	-185.271	-100.00
30	182.805	185.198	-2.393	-1.29
31	184.082	185.592	-1.510	-0.81
32	183.080	182.870	0.210	0.11
33	181.587	181.709	-0.122	-0.07
34	176.817	177.818	-1.001	-0.56
35	183.629	185.373	-1.744	-0.94
36	180.187	181.032	-0.845	-0.47
37	181.635	181.274	0.361	0.20
38	181.798	181.114	0.684	0.38
39	185.911	184.986	0.925	0.50
41	184.778	184.525	0.253	0.14
42	178.181	178.936	-0.755	-0.42
43	184.735	186.681	-1.946	-1.04
44	180.884	180.807	0.077	0.04
45	181.146	181.433	-0.287	-0.16
46	183.518	183.654	-0.136	-0.07
47	180.774	181.487	-0.713	-0.39
48	185.329	185.995	-0.666	-0.36
49	179.711	180.985	-1.274	-0.70
50	175.184	174.679	0.505	0.29
52	182.204	182.891	-0.687	-0.38
54	186.218	185.661	0.557	0.30
55	181.769	181.652	0.117	0.06
56	184.467	185.582	-1.115	-0.60
57	181.093	180.992	0.101	0.06
59	186.695	186.567	0.128	0.07
