# run43845 beginning time:1734546801 end time:1735527395
# Channel	 TimeShift (ns)	Entries
# -----------------------------------------------------------------------
0	-2.47655	31105 0 0 10000
1	-1.81373	53553 0 0 10000
2	1.76062	388531 0 0 10000
3	0.259917	241867 0 0 10000
4	2.56258	419139 0 0 10000
5	0	0 0 0 10000
6	0.600884	251426  0 0 10000
7	-0.153196	183095 0 0 10000
8	2.20001	150507 0 0 10000
9	-1.20582	16036 0 0 10000
10	1.66853	340320 0 0 10000
11	0	0 0 0 10000
12	-0.581755	252867 0 0 10000
13	0.584051	505617 0 0 10000
14	-1.24481	311996 0 0 10000
15	0.836993	243813 0 0 10000
16	1.68964	454356 0 0 10000
17	-0.654611	731132 0 0 10000
18	0	0 0 0 10000
19	0.221012	273009  0 0 10000
20	-1.08225	194317 0 0 10000
21	-1.17945	137070 0 0 10000
22	-1.87062	88173 0 0 10000
23	-3.71303	26294 0 0 10000
24	-0.782889	263154 0 0 10000
25	-1.28859	293818 0 0 10000
26	0	0 0 0 10000
27	-3.02184	22023  0 0 10000
28	-0.124942	188808 0 0 10000
29	0	0 0 0 10000
30	0.995375	474258  0 0 10000
31	0.833205	157659 0 0 10000
32	0.509676	253683 0 0 10000
33	-1.29402	105997 0 0 10000
34	0.0765569	123776 0 0 10000
35	2.46786	302275 0 0 10000
36	0.166767	252012 0 0 10000
37	-0.044783	188693 0 0 10000
38	-3.18394	62822 0 0 10000
39	1.34181	190156 0 0 10000
40	0	0 0 0 10000
41	-0.0972461	203495 0 0 10000
42	2.2922	375822 0 0 10000
43	1.81265	340859 0 0 10000
44	-1.19233	232098 0 0 10000
45	-0.13076	234231 0 0 10000
46	-0.0502339	187443 0 0 10000
47	-1.42436	339469 0 0 10000
48	3.09537	314577 0 0 10000
49	-0.657609	413299 0 0 10000
50	-1.30489	246697 0 0 10000
51	0	0  0 0 10000
52	-1.53371	219578  0 0 10000
53	0	0 0 0 10000
54	2.15287	85774 0 0 10000
55	-1.03662	155806 0 0 10000
56	1.13256	319123 0 0 10000
57	-1.65826	245868 0 0 10000
58	0	0 0 0 10000
59	0.663092	143987 0 0 10000
